Designator,Mid X,Mid Y,Rotation,Layer
C1,107.6,-81.5,180.0,top
C10,132.6,-74.6,0.0,top
C11,110.5352,-81.08,270.0,top
C12,132.4,-69.5,0.0,top
C13,132.6,-80.0,270.0,top
C14,119.172,-87.3284,180.0,top
C15,119.172,-85.7028,180.0,top
C16,119.172,-84.0772,180.0,top
C17,126.08,-81.0546,180.0,top
C18,107.6,-70.75,180.0,top
C19,110.6876,-69.7516,90.0,top
C2,107.6,-72.352,0.0,top
C20,119.8316,-70.2088,90.0,top
C21,117.4948,-82.096,180.0,top
C3,107.6,-78.296,180.0,top
C4,115.5136,-64.3668,180.0,top
C5,133.2,-72.0,0.0,top
C6,122.5748,-73.6632,90.0,top
C7,126.25,-74.975,270.0,bottom
C8,132.6,-76.2,0.0,top
C9,132.4,-67.8,0.0,top
D2,110.511199,-84.3312,90.0,top
J1,107.9,-76.0,270.0,bottom
J3,121.0,-63.15,0.0,bottom
L1,132.6,-75.375,270.0,bottom
R1,107.6,-79.898,0.0,top
R10,109.0112,-84.3312,90.0,top
R11,112.8984,-75.3396,0.0,bottom
R12,119.4008,-67.5672,180.0,bottom
R13,122.5118,-69.214812,180.0,bottom
R14,119.4008,-69.214812,180.0,bottom
R15,122.5118,-70.862425,180.0,bottom
R16,119.4008,-70.862425,180.0,bottom
R17,121.4572,-70.221,270.0,top
R2,125.8226,-63.6734,270.0,top
R3,112.8984,-76.8128,0.0,bottom
R4,122.3594,-87.3284,180.0,top
R5,122.3594,-85.7028,180.0,top
R6,122.3594,-84.0772,180.0,top
R7,135.6812,-74.6,180.0,top
R8,135.6812,-76.2,180.0,top
R9,122.5118,-67.5672,180.0,bottom
RN1,122.2954,-80.7498,270.0,top
U1,115.45,-75.75,270.0,top
U2,126.950441,-75.5456,180.0,top
U3,120.8476,-63.6556,270.0,top
U4,121.0,-76.0,0.0,bottom
Y1,107.38,-75.324,270.0,top
